ed,cuomo,molinaro,votes18,voters18,pct_dem_rvs18,pct_rep_rvs18
23001,153,491,677,1055.0,36.8,39.1
23002,191,514,736,1098.0,37.7,37.8
23003,161,478,664,1046.0,38.1,36.8
23004,37,72,111,195.0,49.7,31.8
23005,219,300,544,959.0,42.6,33.3
23006,210,363,588,990.0,42.9,36.5
23007,187,360,570,948.0,44.0,35.7
23008,232,338,605,985.0,42.9,35.6
23009,229,321,579,977.0,47.2,31.5
23010,235,240,515,921.0,51.6,22.5
23011,266,270,561,1098.0,49.1,25.0
23012,297,151,477,1062.0,60.5,17.5
23013,311,210,546,1041.0,55.8,20.1
23014,283,299,618,1126.0,54.6,23.5
23015,221,95,336,663.0,58.8,17.5
23016,200,110,326,696.0,60.5,14.9
23017,272,80,362,716.0,62.2,14.7
23018,376,29,419,958.0,78.6,4.6
23019,256,59,334,705.0,71.1,8.9
23021,295,70,386,698.0,62.5,12.9
23023,163,160,333,866.0,60.9,21.6
23024,370,43,427,910.0,80.2,6.9
23025,155,39,198,1015.0,65.4,15.4
23026,333,89,431,786.0,71.9,14.2
23027,57,91,155,932.0,52.9,26.8
23028,152,167,338,986.0,60.0,20.3
23029,337,43,393,935.0,71.6,9.5
23030,160,30,196,880.0,69.3,12.8
23031,134,23,161,952.0,74.4,7.9
23032,280,7,292,524.0,80.7,3.2
23033,427,19,459,1082.0,77.4,4.1
23034,302,27,341,898.0,76.1,6.3
23035,334,48,399,895.0,75.2,7.6
23036,312,146,479,1009.0,64.3,14.8
23037,344,137,503,1002.0,66.5,14.8
23038,77,13,92,208.0,75.5,9.1
23039,83,66,171,947.0,58.7,20.1
23040,148,280,458,815.0,46.9,29.9
23041,102,220,347,634.0,41.8,35.0
23042,481,28,522,1062.0,76.9,5.6
23043,159,32,201,681.0,65.5,9.0
23044,111,232,351,728.0,35.3,38.2
23045,213,331,561,1069.0,37.3,41.1
23046,125,294,437,841.0,38.9,41.4
23047,117,182,305,659.0,37.8,37.9
23048,110,168,294,637.0,36.3,38.0
23049,155,338,504,1075.0,36.0,40.2
23050,209,249,486,1046.0,45.7,26.2
23051,177,316,508,1074.0,38.7,38.1
23052,212,283,507,1040.0,43.1,30.8
23053,295,161,467,1095.0,55.3,17.9
23054,272,154,435,1120.0,51.7,20.3
23055,292,89,392,1115.0,56.7,15.9
23056,278,79,372,1068.0,62.1,12.5
23057,336,85,442,1026.0,60.3,14.2
23058,311,102,427,993.0,57.8,16.0
23059,302,86,401,1029.0,63.3,12.6
23060,300,91,402,992.0,64.6,11.5
23061,337,173,532,1094.0,57.5,18.3
23062,312,171,510,1065.0,58.9,19.7
23063,260,127,402,796.0,56.4,19.7
23064,327,216,562,1079.0,54.5,23.9
23065,344,116,487,1104.0,60.1,16.1
23066,220,50,281,861.0,69.2,10.2
23067,209,12,234,746.0,69.8,5.4
23068,261,26,297,855.0,70.8,6.8
23069,244,68,320,890.0,69.6,9.8
23070,304,53,364,1089.0,62.5,11.0
23084,198,109,320,779.0,56.6,19.5
23085,223,91,333,677.0,60.1,17.4
23086,186,80,281,615.0,60.5,15.6
23087,201,69,289,659.0,65.3,13.7
23088,261,56,325,767.0,66.6,12.3
23089,246,90,349,921.0,60.4,13.8
23090,111,243,362,704.0,35.7,42.5
23091,41,4,45,149.0,63.1,10.1
23092,201,235,461,837.0,47.9,30.9
23093,260,90,358,673.0,65.1,13.1
24001,240,77,332,652.0,53.7,20.1
24002,342,99,460,1031.0,59.4,13.7
24003,298,130,441,860.0,61.6,16.5
24004,243,100,359,697.0,63.1,15.5
24005,276,104,391,979.0,63.3,12.5
24006,319,126,463,1007.0,58.7,17.6
24007,291,98,406,980.0,60.4,11.9
24008,95,15,117,466.0,60.1,10.7
24009,13,4,17,73.0,60.3,16.4
24010,168,56,234,575.0,62.3,10.8
24011,208,59,286,757.0,63.8,10.6
24012,50,8,60,136.0,69.1,7.4
24013,366,72,446,775.0,67.1,11.1
24014,226,56,296,614.0,67.1,10.3
24015,213,67,294,614.0,64.3,13.0
24016,167,62,244,613.0,57.7,11.7
24017,302,144,472,1044.0,58.4,12.0
24018,239,87,341,653.0,56.4,15.9
24019,324,160,509,926.0,56.2,16.7
24020,373,162,559,1032.0,60.0,15.7
24021,358,138,524,973.0,62.1,16.1
24022,267,122,417,709.0,58.0,14.0
24023,35,26,64,150.0,51.3,14.7
24024,298,122,439,776.0,56.6,16.9
24025,241,125,386,743.0,52.6,19.8
24026,210,37,255,865.0,66.4,9.2
24027,480,19,509,949.0,86.1,2.6
24028,260,129,407,897.0,54.7,19.3
