ed,nta,nta22,nta18,votes22,voters22,dem,rep,t22,pct_dem,pct_rep,margin
23001,Jacob Riis Park-Fort Tilden-Breezy Point Tip,508.8044485634847,63.2404181184669,3300,1625.0,5829,2685,203.07692307692307,176.63636363636363,81.36363636363636,95.27272727272727
23002,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,1302,1644.0,2900,4338,79.1970802919708,222.7342549923195,333.17972350230417,-110.44546850998466
23003,Jacob Riis Park-Fort Tilden-Breezy Point Tip,508.8044485634847,63.2404181184669,7680,533.0,5172,1668,1440.9005628517823,67.34375,21.71875,45.625
23004,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,6962,1678.0,2583,2880,414.8986889153755,37.10140764148233,41.367423154266014,-4.266015512783682
23005,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,8249,1659.0,2358,4652,497.2272453285112,28.585283064613893,56.3947145108498,-27.80943144623591
23006,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,8325,1553.0,786,3197,536.0592401802962,9.441441441441441,38.4024024024024,-28.96096096096096
23007,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,2926,1770.0,6075,120,165.31073446327684,207.62132604237868,4.101161995898838,203.52016404647983
23008,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,8092,1515.0,5498,3334,534.1254125412541,67.94364804745427,41.2011863568957,26.742461690558578
23009,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,960,1248.0,3578,3032,76.92307692307693,372.7083333333333,315.8333333333333,56.875
23010,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,2212,1803.0,280,1017,122.68441486411537,12.658227848101266,45.97649186256781,-33.31826401446655
23011,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,3384,1541.0,76,2794,219.59766385463985,2.2458628841607564,82.56501182033097,-80.31914893617021
23012,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,9704,529.0,7533,4433,1834.4045368620036,77.62778235779061,45.682192910140145,31.945589447650462
23013,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,1671,1289.0,4979,2713,129.6353762606672,297.96529024536204,162.35786953919808,135.60742070616396
23014,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,1213,1101.0,1382,1114,110.17257039055404,113.93239901071723,91.83841714756801,22.093981863149224
23015,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,354,1452.0,4970,3071,24.380165289256198,1403.954802259887,867.5141242937854,536.4406779661016
23016,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,6165,820.0,4234,3713,751.829268292683,68.6780210867802,60.22708840227089,8.450932684509318
23017,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,2118,907.0,6953,4129,233.51708930540244,328.28139754485363,194.9480642115203,133.33333333333334
23018,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,7117,1123.0,1646,1447,633.7488869100623,23.127722354924828,20.331600393424196,2.7961219615006314
23020,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,5716,1543.0,5619,4009,370.44718081659107,98.30300909727082,70.13645906228132,28.1665500349895
23021,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,782,1631.0,3833,4620,47.94604537093807,490.153452685422,590.7928388746803,-100.63938618925835
23022,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,6960,704.0,33,3046,988.6363636363636,0.47413793103448276,43.764367816091955,-43.29022988505747
23023,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,1353,1297.0,5891,2308,104.31765612952968,435.40280857354026,170.5838876570584,264.81892091648183
23024,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,1085,700.0,4693,622,155.0,432.53456221198155,57.327188940092164,375.20737327188937
23025,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,8580,1717.0,5856,4682,499.7087944088526,68.25174825174825,54.56876456876457,13.682983682983682
23026,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,9489,848.0,1835,870,1118.985849056604,19.338181051744126,9.168510907366425,10.169670144377701
23027,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,1420,1704.0,3023,1577,83.33333333333334,212.88732394366198,111.05633802816901,101.83098591549297
23028,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,6928,1335.0,4068,5368,518.9513108614232,58.71824480369515,77.48267898383372,-18.764434180138572
23029,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,7271,1248.0,1405,4158,582.6121794871794,19.323339293082107,57.18608169440242,-37.86274240132031
23030,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,3354,1439.0,1126,4517,233.07852675469073,33.571854502087064,134.67501490757306,-101.103160405486
23031,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,1340,1524.0,3109,658,87.92650918635171,232.01492537313433,49.1044776119403,182.91044776119404
23032,Far Rockaway-Bayswater,412.0482809070959,38.819413727934375,1420,1721.0,788,5547,82.51016850668216,55.49295774647887,390.63380281690144,-335.1408450704226
23033,Spring Creek Park,159.04990980156344,51.42045454545454,2645,1663.0,6084,5547,159.04990980156344,230.01890359168243,209.7164461247637,20.302457466918725
23034,Howard Beach-Lindenwood,477.1079484425349,48.26885290331323,5456,1401.0,748,5751,389.4361170592434,13.709677419354838,105.40689149560117,-91.69721407624634
23035,Howard Beach-Lindenwood,477.1079484425349,48.26885290331323,8942,1308.0,7593,611,683.6391437308868,84.91388951017669,6.832923283381794,78.0809662267949
23039,South Ozone Park,500.19097396723294,32.545511777975975,3678,164.0,3191,3872,2242.682926829268,86.75910821098424,105.27460576400217,-18.515497553017937
23040,South Ozone Park,500.19097396723294,32.545511777975975,1733,1173.0,7657,4372,147.74083546462063,441.8349682631275,252.2792844777842,189.55568378534332
23041,Ozone Park,525.8977060873794,38.01424755120213,8854,1182.0,7078,5328,749.0693739424704,79.94126948271968,60.17619155184098,19.765077930878697
23042,Ozone Park,525.8977060873794,38.01424755120213,5042,968.0,6437,4515,520.8677685950414,127.66759222530742,89.54779849266164,38.119793732645775
23044,Howard Beach-Lindenwood,477.1079484425349,48.26885290331323,3022,1702.0,6419,3932,177.55581668625146,212.40900066181337,130.1125082726671,82.29649238914627
23045,Howard Beach-Lindenwood,477.1079484425349,48.26885290331323,180,1114.0,6792,2468,16.15798922800718,3773.3333333333335,1371.111111111111,2402.2222222222226
23046,Ozone Park,525.8977060873794,38.01424755120213,3353,1714.0,835,829,195.6242707117853,24.903071875932,24.72412764688339,0.17894422904861074
23047,Howard Beach-Lindenwood,477.1079484425349,48.26885290331323,1788,1219.0,4450,2162,146.67760459392946,248.8814317673378,120.91722595078299,127.96420581655481
23048,Howard Beach-Lindenwood,477.1079484425349,48.26885290331323,996,1323.0,336,3981,75.28344671201815,33.734939759036145,399.69879518072287,-365.96385542168673
23049,Howard Beach-Lindenwood,477.1079484425349,48.26885290331323,5539,1577.0,1839,3439,351.23652504755864,33.2009387976169,62.087019317566345,-28.886080519949445
23050,Ozone Park,525.8977060873794,38.01424755120213,8826,613.0,3367,5942,1439.8042414355627,38.148651710854296,67.32381599818717,-29.175164287332876
23051,Ozone Park,525.8977060873794,38.01424755120213,9615,1114.0,3687,3196,863.1059245960503,38.34633385335413,33.23972958918357,5.106604264170564
23052,Ozone Park,525.8977060873794,38.01424755120213,8318,663.0,4659,1423,1254.600301659125,56.01106035104593,17.1074777590767,38.903582591969226
23053,Ozone Park,525.8977060873794,38.01424755120213,5152,1729.0,4777,82,297.9757085020243,92.72127329192547,1.5916149068322982,91.12965838509317
23054,Ozone Park (North),365.6997455470738,33.06799336650083,2211,1687.0,4514,5150,131.06105512744517,204.161013116237,232.9262777023971,-28.7652645861601
23055,Ozone Park,525.8977060873794,38.01424755120213,8427,618.0,7661,1611,1363.5922330097087,90.91016969265456,19.117123531505875,71.79304616114868
23056,Ozone Park (North),365.6997455470738,33.06799336650083,7957,600.0,6357,2957,1326.1666666666667,79.89191906497423,37.16224707804449,42.729671986929745
23057,Ozone Park,525.8977060873794,38.01424755120213,3785,998.0,1280,4075,379.2585170340681,33.81770145310436,107.66182298546896,-73.8441215323646
23058,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,8049,702.0,179,3749,1146.5811965811965,2.2238787427009568,46.57721456081501,-44.353335818114054
23059,Howard Beach-Lindenwood,477.1079484425349,48.26885290331323,9976,652.0,2802,3864,1530.0613496932515,28.087409783480354,38.73295910184443,-10.645549318364075
23060,Ozone Park,525.8977060873794,38.01424755120213,2767,1211.0,3796,2704,228.48885218827414,137.1882905674015,97.72316588362848,39.46512468377303
23062,Ozone Park,525.8977060873794,38.01424755120213,741,1527.0,6251,3420,48.52652259332024,843.5897435897435,461.53846153846155,382.051282051282
23200,Jamaica Bay (East),inf,0.0,857,,5821,2111,,679.2298716452742,246.32438739789964,432.9054842473746
23201,Jamaica Bay (East),inf,0.0,3481,,5006,1252,,143.80925021545534,35.966676242459066,107.84257397299626
23202,Jamaica Bay (East),inf,0.0,1798,,3529,744,,196.27363737486095,41.37931034482759,154.89432703003337
23203,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,392,,7634,3701,,1947.4489795918366,944.1326530612245,1003.3163265306122
23204,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,401.1533945714483,56.506267691063485,2543,,6566,2662,,258.1989775855289,104.67951238694455,153.51946519858433
23205,Jamaica Bay (East),inf,0.0,2946,,5088,4536,,172.70875763747455,153.9714867617108,18.737270875763755
23206,Jamaica Bay (East),inf,0.0,396,,2955,5987,,746.2121212121212,1511.8686868686868,-765.6565656565656
23207,Jamaica Bay (East),inf,0.0,3512,,4252,3775,,121.07061503416857,107.4886104783599,13.582004555808666
23208,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,1948,,973,3972,,49.94866529774127,203.90143737166323,-153.95277207392195
23209,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,7504,,2173,4603,,28.957889125799575,61.34061833688699,-32.382729211087415
23210,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,5128,,686,4997,,13.377535101404057,97.44539781591264,-84.06786271450858
23211,Rockaway Beach-Arverne-Edgemere,492.2459754645685,45.84722801167153,437,,5908,5979,,1351.945080091533,1368.1922196796338,-16.24713958810071
