NTA2020,NTAName,votes22,voters22,votes18,voters18
BK0101,Greenpoint,83476,24756.0,12614,23224.0
BK0102,Williamsburg,174940,37865.0,16989,36710.0
BK0103,South Williamsburg,93455,19648.0,2851,17890.0
BK0104,East Williamsburg,130739,35296.0,15528,34697.0
BK0201,Brooklyn Heights,60577,15548.0,10863,16318.0
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,153738,25595.0,14350,24972.0
BK0203,Fort Greene,123904,22099.0,11554,21469.0
BK0204,Clinton Hill,57916,18589.0,10668,18023.0
BK0261,Brooklyn Navy Yard,38039,10.0,6,8.0
BK0301,Bedford-Stuyvesant (West),175966,48623.0,22304,47624.0
BK0302,Bedford-Stuyvesant (East),200542,52504.0,25083,54072.0
BK0401,Bushwick (West),110275,27894.0,12978,28941.0
BK0402,Bushwick (East),145334,34939.0,13483,33713.0
BK0471,The Evergreens Cemetery,9602,1032.0,129,285.0
BK0501,Cypress Hills,81728,17206.0,5895,18808.0
BK0502,East New York (North),149737,19131.0,7500,20270.0
BK0503,East New York-New Lots,127335,31616.0,13485,32725.0
BK0504,Spring Creek-Starrett City,49098,11156.0,4797,10474.0
BK0505,East New York-City Line,127069,24641.0,8288,23365.0
BK0571,Highland Park-Cypress Hills Cemeteries (South),15407,4131.0,504,1812.0
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,203749,40510.0,22891,40019.0
BK0602,Park Slope,172554,38478.0,25722,39549.0
BK0701,Windsor Terrace-South Slope,76064,15734.0,10729,17198.0
BK0702,Sunset Park (West),175774,26137.0,10507,24083.0
BK0703,Sunset Park (Central),57603,14817.0,5680,19189.0
BK0771,Green-Wood Cemetery,5541,1387.0,68,213.0
BK0801,Prospect Heights,84833,15576.0,10224,16349.0
BK0802,Crown Heights (North),228606,50787.0,26185,51763.0
BK0891,Lincoln Terrace Park,4825,1586.0,376,876.0
BK0901,Crown Heights (South),118783,29213.0,14181,30663.0
BK0902,Prospect Lefferts Gardens-Wingate,110552,32312.0,15393,30370.0
BK1001,Bay Ridge,232765,47485.0,24840,47333.0
BK1002,Dyker Heights,89011,19943.0,7721,19019.0
BK1091,Dyker Beach Park,6856,1331.0,97,217.0
BK1101,Bensonhurst,200695,39856.0,13385,40015.0
BK1102,Bath Beach,87989,13913.0,5059,12994.0
BK1103,Gravesend (West),129861,24947.0,7782,23463.0
BK1201,Sunset Park (East)-Borough Park (West),77239,12516.0,3045,10449.0
BK1202,Borough Park,179084,35254.0,11324,32228.0
BK1203,Kensington,95300,21281.0,9763,21201.0
BK1204,Mapleton-Midwood (West),78077,18207.0,6301,16943.0
BK1301,Gravesend (South),70915,14277.0,5697,14802.0
BK1302,Coney Island-Sea Gate,149228,30440.0,10539,27926.0
BK1303,Brighton Beach,53466,14218.0,4351,14193.0
BK1391,Calvert Vaux Park,6613,6.0,2,8.0
BK1401,Flatbush,121949,42492.0,17900,38495.0
BK1402,Flatbush (West)-Ditmas Park-Parkville,110499,26270.0,10060,21206.0
BK1403,Midwood,156694,25695.0,10137,27273.0
BK1501,Gravesend (East)-Homecrest,88307,22983.0,7874,22285.0
BK1502,Madison,87310,20810.0,6647,18279.0
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,192107,38111.0,13889,36314.0
BK1601,Ocean Hill,79323,20862.0,7948,18348.0
BK1602,Brownsville,126125,32764.0,12933,33037.0
BK1701,East Flatbush-Erasmus,93938,23974.0,12259,26201.0
BK1702,East Flatbush-Farragut,91681,23351.0,11121,23068.0
BK1703,East Flatbush-Rugby,88894,24416.0,11291,23826.0
BK1704,East Flatbush-Remsen Village,114909,18862.0,8222,17552.0
BK1771,Holy Cross Cemetery,12941,1314.0,427,1046.0
BK1801,Flatlands,192838,38350.0,19061,41112.0
BK1802,Marine Park-Mill Basin-Bergen Beach,96974,26879.0,10189,22546.0
BK1803,Canarsie,194217,48301.0,23018,47064.0
BK1891,Marine Park-Plumb Island,17154,1743.0,1110,2237.0
BK1893,Canarsie Park & Pier,13104,2274.0,787,1749.0
BK5591,Prospect Park,20641,1840.0,811,1450.0
BK5691,Barren Island-Floyd Bennett Field,829,301.0,469,1068.0
BK5693,Shirley Chisholm State Park,2664,1820.0,361,831.0
BX0101,Mott Haven-Port Morris,106886,30948.0,10198,30076.0
BX0102,Melrose,93581,19186.0,7889,22250.0
BX0201,Hunts Point,32531,6915.0,2524,6850.0
BX0202,Longwood,86691,18842.0,7304,19441.0
BX0301,Morrisania,72651,19337.0,6499,17228.0
BX0302,Claremont Village-Claremont (East),53967,13474.0,4859,13463.0
BX0303,Crotona Park East,84126,16297.0,5107,14352.0
BX0391,Crotona Park,6872,1463.0,359,1182.0
BX0401,Concourse-Concourse Village,161981,36766.0,13668,33305.0
BX0402,Highbridge,61183,14808.0,5859,15448.0
BX0403,Mount Eden-Claremont (West),141658,21028.0,7658,20193.0
BX0491,Yankee Stadium-Macombs Dam Park,5603,1597.0,408,1057.0
BX0492,Claremont Park,3743,1439.0,344,1092.0
BX0501,University Heights (South)-Morris Heights,137090,27963.0,9388,26658.0
BX0502,Mount Hope,74330,21058.0,7792,20868.0
BX0503,Fordham Heights,62469,12290.0,4562,13077.0
BX0601,West Farms,48440,9803.0,3346,9663.0
BX0602,Tremont,76416,13591.0,5454,15940.0
BX0603,Belmont,58111,12380.0,3854,10923.0
BX0701,University Heights (North)-Fordham,60318,20149.0,7686,20393.0
BX0702,Bedford Park,104478,26373.0,9761,25234.0
BX0703,Norwood,81550,15178.0,7175,17843.0
BX0801,Kingsbridge Heights-Van Cortlandt Village,100406,16768.0,7299,17374.0
BX0802,Kingsbridge-Marble Hill,55943,10345.0,4809,10965.0
BX0803,Riverdale-Spuyten Duyvil,111707,30606.0,16699,27972.0
BX0901,Soundview-Bruckner-Bronx River,153511,34369.0,12090,33831.0
BX0902,Soundview-Clason Point,75447,21642.0,8170,20321.0
BX0903,Castle Hill-Unionport,72199,19428.0,7203,18612.0
BX0904,Parkchester,74470,19041.0,8689,18724.0
BX0991,Soundview Park,377,1092.0,350,1033.0
BX1001,Westchester Square,43396,9139.0,3163,8418.0
BX1002,Throgs Neck-Schuylerville,86779,24066.0,10055,23036.0
BX1003,Pelham Bay-Country Club-City Island,50554,14286.0,7035,14442.0
BX1004,Co-op City,102717,25557.0,14049,24869.0
BX1091,Ferry Point Park-St. Raymond Cemetery,13601,3750.0,1263,2765.0
BX1101,Pelham Parkway-Van Nest,80733,15398.0,5740,14329.0
BX1102,Morris Park,67800,10901.0,4535,10369.0
BX1103,Pelham Gardens,109678,15032.0,6767,14871.0
BX1104,Allerton,63804,15017.0,6366,14984.0
BX1161,Hutchinson Metro Center,8137,103.0,55,143.0
BX1201,Williamsbridge-Olinville,139018,29683.0,11856,26629.0
BX1202,Eastchester-Edenwald-Baychester,151233,27109.0,12566,26004.0
BX1203,Wakefield-Woodlawn,110410,24562.0,11249,23782.0
BX1271,Woodlawn Cemetery,3433,1539.0,226,444.0
BX2691,Van Cortlandt Park,15288,561.0,947,1924.0
