NTA2020,NTAName,votes18,voters18,turnout18
BK0101,Greenpoint,12614,23224.0,54.31450223906303
BK0102,Williamsburg,16989,36710.0,46.27894306728412
BK0103,South Williamsburg,2851,17890.0,15.936277249860256
BK0104,East Williamsburg,15528,34697.0,44.753148687206384
BK0201,Brooklyn Heights,10863,16318.0,66.57065816889325
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,14350,24972.0,57.464360083293286
BK0203,Fort Greene,11554,21469.0,53.81713167823373
BK0204,Clinton Hill,10668,18023.0,59.19103367918771
BK0261,Brooklyn Navy Yard,6,8.0,75.0
BK0301,Bedford-Stuyvesant (West),22304,47624.0,46.833529312951455
BK0302,Bedford-Stuyvesant (East),25083,54072.0,46.38814913448735
BK0401,Bushwick (West),12978,28941.0,44.842956359489996
BK0402,Bushwick (East),13483,33713.0,39.99347432741079
BK0471,The Evergreens Cemetery,129,285.0,45.26315789473684
BK0501,Cypress Hills,5895,18808.0,31.343045512547853
BK0502,East New York (North),7500,20270.0,37.0004933399112
BK0503,East New York-New Lots,13485,32725.0,41.2070282658518
BK0504,Spring Creek-Starrett City,4797,10474.0,45.79912163452358
BK0505,East New York-City Line,8288,23365.0,35.47185961908838
BK0571,Highland Park-Cypress Hills Cemeteries (South),504,1812.0,27.81456953642384
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,22891,40019.0,57.20032984332442
BK0602,Park Slope,25722,39549.0,65.03830691041493
BK0701,Windsor Terrace-South Slope,10729,17198.0,62.38516106524015
BK0702,Sunset Park (West),10507,24083.0,43.62828551260225
BK0703,Sunset Park (Central),5680,19189.0,29.600291833863153
BK0771,Green-Wood Cemetery,68,213.0,31.92488262910798
BK0801,Prospect Heights,10224,16349.0,62.53593491956695
BK0802,Crown Heights (North),26185,51763.0,50.58632614029326
BK0891,Lincoln Terrace Park,376,876.0,42.922374429223744
BK0901,Crown Heights (South),14181,30663.0,46.24792094706976
BK0902,Prospect Lefferts Gardens-Wingate,15393,30370.0,50.684886401053674
BK1001,Bay Ridge,24840,47333.0,52.479242811569094
BK1002,Dyker Heights,7721,19019.0,40.59624585940376
BK1091,Dyker Beach Park,97,217.0,44.70046082949309
BK1101,Bensonhurst,13385,40015.0,33.4499562664001
BK1102,Bath Beach,5059,12994.0,38.933353855625676
BK1103,Gravesend (West),7782,23463.0,33.167114179772405
BK1201,Sunset Park (East)-Borough Park (West),3045,10449.0,29.141544645420613
BK1202,Borough Park,11324,32228.0,35.13714782176989
BK1203,Kensington,9763,21201.0,46.04971463610207
BK1204,Mapleton-Midwood (West),6301,16943.0,37.18939975211001
BK1301,Gravesend (South),5697,14802.0,38.48804215646534
BK1302,Coney Island-Sea Gate,10539,27926.0,37.73902456492158
BK1303,Brighton Beach,4351,14193.0,30.655957161981256
BK1391,Calvert Vaux Park,2,8.0,25.0
BK1401,Flatbush,17900,38495.0,46.49954539550591
BK1402,Flatbush (West)-Ditmas Park-Parkville,10060,21206.0,47.43940394228049
BK1403,Midwood,10137,27273.0,37.16862831371686
BK1501,Gravesend (East)-Homecrest,7874,22285.0,35.333183755889614
BK1502,Madison,6647,18279.0,36.36413370534493
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,13889,36314.0,38.24695709643663
BK1601,Ocean Hill,7948,18348.0,43.31807281447569
BK1602,Brownsville,12933,33037.0,39.14701698096074
BK1701,East Flatbush-Erasmus,12259,26201.0,46.78829052326247
